Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car;;Tn;Tx;Tavg;RH_avg;RR;ss
15-04-2024;26.17;33.6;30.1;75;1;5.5;3;60;1;C ;;;;;;;
16-04-2024;26.4;34.6;30.9;74;0;4.5;4;150;1;C ;;;;;;;
17-04-2024;26;33.4;28.8;81;0;3.5;8;330;2;C ;;;;;;;
18-04-2024;25.4;33.4;29.6;75;27.2;3.6;8;320;2;C ;;;;;;;
19-04-2024;27.2;33.2;29.5;76;0;3.7;3;340;1;C ;;;;;;;
20-04-2024;27;33.6;30.1;76;0;0.6;3;190;1;C ;;;;;;;
21-04-2024;26;33;29.6;76;0;2.3;4;320;1;C ;;;;;;;
22-04-2024;27.4;34;30.9;73;0;2.5;4;320;1;C ;;;;;;;
23-04-2024;28;32.8;29.8;77;0;7;6;320;1;C ;;;;;;;
24-04-2024;27.4;34.4;30;78;0;3.5;6;350;1;C ;;;;;;;
25-04-2024;25.6;32;29;81;13;1;3;360;1;C ;;;;;;;
26-04-2024;26.4;34.4;30.2;77;0.4;0;5;350;1;C ;;;;;;;
27-04-2024;27.4;34.4;29.5;78;0;7;3;150;1;C ;;;;;;;
28-04-2024;26.2;33.6;30.2;78;2;5.5;6;360;1;C ;;;;;;;
29-04-2024;26.8;35;31.3;74;0;2.7;5;360;2;C ;;;;;;;
30-04-2024;28;34.4;31;74;0;6.8;4;350;1;C ;;;;;;;
01-05-2024;28;33;30.4;76;0;5.6;4;360;1;C ;;;;;;;
