Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
10-03-2013,26.0,31.0,27.5,77.0,33.8,1.2,5.0,10.0,5.0,W 
11-03-2013,26.0,34.4,29.6,70.0,0.0,6.5,4.0,30.0,3.0,N 
12-03-2013,26.0,33.2,28.8,76.0,0.0,4.0,5.0,280.0,3.0,W 
13-03-2013,26.0,35.2,29.9,68.0,0.0,7.8,3.0,270.0,4.0,W 
14-03-2013,25.0,35.0,27.7,82.0,7.5,3.0,4.0,20.0,5.0,W 
15-03-2013,25.0,33.4,28.2,79.0,1.2,6.4,4.0,250.0,3.0,N 
16-03-2013,25.0,32.4,28.3,80.0,6.1,6.3,6.0,270.0,4.0,W 
17-03-2013,26.0,33.2,28.7,80.0,0.0,5.6,3.0,180.0,3.0,NW
18-03-2013,26.0,33.5,29.5,71.0,0.0,7.5,5.0,250.0,3.0,NW
19-03-2013,26.0,32.4,28.9,78.0,0.0,3.2,3.0,180.0,3.0,S 
20-03-2013,25.0,33.6,28.1,77.0,25.0,5.3,4.0,110.0,2.0,E 
21-03-2013,25.0,34.6,29.4,73.0,0.0,6.5,4.0,340.0,3.0,N 
22-03-2013,26.0,32.2,28.7,78.0,6.0,2.5,5.0,350.0,4.0,N 
23-03-2013,25.0,34.0,29.1,76.0,0.5,7.5,4.0,190.0,2.0,N 
24-03-2013,26.0,33.4,29.1,75.0,0.0,3.0,3.0,340.0,2.0,NW
25-03-2013,27.0,34.6,29.9,72.0,0.0,8.0,3.0,350.0,2.0,N 
26-03-2013,27.0,34.0,30.0,74.0,0.0,7.6,3.0,350.0,3.0,N 
27-03-2013,26.0,33.2,29.1,76.0,1.0,3.2,4.0,320.0,2.0,N 
28-03-2013,26.0,33.8,29.4,74.0,10.8,7.6,3.0,270.0,3.0,W 
29-03-2013,26.0,34.0,28.6,79.0,0.0,7.6,5.0,280.0,3.0,W 
30-03-2013,27.0,33.2,29.3,76.0,14.9,2.0,6.0,270.0,3.0,W 
31-03-2013,26.0,34.6,28.8,76.0,0.0,6.0,10.0,180.0,5.0,W 
01-04-2013,27.0,33.6,29.6,76.0,0.0,4.6,4.0,260.0,3.0,W 
02-04-2013,26.0,33.4,29.6,85.0,0.5,3.0,3.0,60.0,2.0,SW
03-04-2013,27.0,33.0,29.3,77.0,0.0,2.8,3.0,30.0,3.0,NE
04-04-2013,26.0,33.0,28.4,85.0,11.5,4.0,4.0,300.0,2.0,W 
05-04-2013,26.0,34.2,29.3,75.0,0.0,6.0,6.0,300.0,3.0,W 
06-04-2013,25.0,31.6,27.9,82.0,34.2,3.9,5.0,300.0,3.0,SW
07-04-2013,25.0,30.8,27.7,82.0,2.2,3.9,2.0,10.0,2.0,N 
08-04-2013,26.0,33.0,28.4,80.0,0.0,3.0,3.0,270.0,2.0,W 
09-04-2013,27.0,33.0,29.3,75.0,0.0,6.0,3.0,120.0,2.0,N 
10-04-2013,26.0,32.2,29.3,74.0,0.2,3.0,4.0,280.0,3.0,W 
11-04-2013,26.0,32.8,28.3,83.0,2.6,2.6,3.0,350.0,3.0,N 
12-04-2013,25.0,33.0,29.4,71.0,0.0,4.0,5.0,290.0,3.0,W 
13-04-2013,26.0,33.2,28.9,72.0,0.0,4.0,8.0,270.0,4.0,W 
14-04-2013,24.0,34.0,29.4,76.0,48.2,6.0,8.0,300.0,3.0,N 
15-04-2013,25.0,34.6,30.1,71.0,13.8,4.0,5.0,340.0,3.0,W 
16-04-2013,26.0,34.0,29.0,79.0,2.0,6.6,4.0,350.0,3.0,W 
17-04-2013,25.0,34.2,29.4,78.0,4.0,8.0,5.0,200.0,3.0,E 
18-04-2013,24.0,31.5,25.6,92.0,39.0,0.3,4.0,290.0,3.0,W 
19-04-2013,24.0,32.4,27.4,82.0,0.0,4.0,4.0,200.0,3.0,N 
20-04-2013,25.0,33.2,28.3,78.0,0.0,7.0,4.0,90.0,3.0,E 
21-04-2013,27.0,34.2,29.8,80.0,0.0,5.0,5.0,90.0,3.0,E 
22-04-2013,24.0,28.4,26.8,87.0,13.0,0.0,2.0,110.0,2.0,E 
23-04-2013,25.0,32.0,28.2,83.0,0.0,3.0,2.0,90.0,2.0,N 
24-04-2013,26.0,31.8,27.6,86.0,6.7,4.0,3.0,350.0,2.0,N 
25-04-2013,24.0,33.6,28.6,80.0,16.9,5.5,4.0,230.0,3.0,SW
26-04-2013,26.0,33.0,28.4,82.0,0.0,2.1,5.0,90.0,3.0,E 
27-04-2013,26.0,32.0,28.4,82.0,2.0,6.0,3.0,20.0,2.0,E 
28-04-2013,26.0,32.6,28.6,79.0,0.0,4.5,5.0,80.0,3.0,E 
29-04-2013,27.0,34.4,29.7,70.0,0.0,8.0,5.0,90.0,3.0,E 
30-04-2013,26.0,34.2,30.0,67.0,7.5,6.9,5.0,90.0,3.0,E 
