Aktual,Prediksi
33.9045,33.4459
34.5727,33.3503
27.8909,33.4817
27.5939,31.7703
32.1970,31.6266
33.8303,32.4129
34.5727,33.3440
34.2758,33.7971
35.3152,33.6273
32.6424,34.1527
33.5333,33.3650
33.9788,33.2206
33.3848,33.5965
33.3848,33.3986
33.2364,33.1525
32.7909,32.9713
33.0879,32.8155
33.8303,33.0381
31.7515,33.4302
31.7515,33.0904
34.1273,33.0352
32.1970,33.4425
33.0879,33.0107
29.3758,33.0374
31.9000,32.0477
32.6424,33.0865
33.0879,33.2697
33.2364,33.0053
33.0879,32.9779
32.4939,32.7336
32.4939,32.4369
31.0091,32.5490
30.8606,31.8398
31.4545,31.5982
33.5333,32.3710
33.8303,33.3505
33.8303,33.3425
33.5333,33.3442
32.6424,32.8952
33.2364,32.4651
29.3758,32.9317
34.8697,31.8167
34.5727,32.6996
33.6818,32.6794
30.7121,32.1786
30.5636,31.2835
32.9394,31.1202
30.4152,31.5834
30.5636,30.5467
30.1182,30.4778
29.5242,29.6909
30.2667,29.8150
29.9697,30.2792
28.3364,30.2338
30.7121,30.0100
29.5242,30.7840
30.7121,30.9883
31.6030,31.6927
31.7515,31.7533
29.9697,31.4731
30.7121,30.8903
31.1576,31.1425
31.7515,31.1051
30.4152,31.5643
31.6030,31.3429
30.1182,31.0620
30.1182,30.8634
30.8606,30.9208
30.2667,31.2509
31.6030,31.4600
31.1576,31.6878
30.8606,32.1017
32.3455,32.4587
32.3455,32.4689
33.0879,32.5398
32.7909,32.7000
32.5682,32.7293
32.7909,32.5467
29.8212,32.2907
32.1970,31.9643
33.3848,32.4037
31.4545,32.6478
32.1970,32.3600
33.6818,32.4754
31.1576,32.6812
29.6727,32.1085
31.9000,31.3873
31.6030,31.9855
31.6030,31.7748
29.3758,31.4956
30.4152,30.8706
31.9000,31.4340
32.3455,31.9502
32.7909,32.1237
33.5333,32.1287
33.8303,32.4302
32.7909,32.5121
33.6818,32.2524
32.9394,32.4802
32.0485,32.3543
32.3455,32.2375
30.4152,32.0860
30.4152,31.7841
31.3061,31.9740
32.9394,32.3203
32.3455,32.8004
33.0879,32.8968
33.2364,33.0178
33.3848,33.3955
33.2364,33.4020
33.2364,33.3501
33.6076,33.2435
33.0879,33.2222
33.2364,32.7945
31.1576,32.7772
33.2364,32.2792
31.7515,32.7046
31.4545,32.4769
31.9000,32.5236
34.1273,32.6065
34.7212,33.4615
34.1273,33.5687
34.8697,33.5352
34.7212,33.7680
34.5727,33.7794
34.7212,33.8672
33.5333,33.9504
34.2758,33.4824
33.3848,33.8643
35.0182,33.4378
35.4636,33.7964
34.1273,33.9921
33.1621,33.8089
33.5333,33.5933
33.3848,33.6795
33.8303,33.3879
33.1621,33.4465
33.5333,33.1698
33.9788,33.2613
34.5727,33.3183
34.3500,33.3886
34.1273,33.4047
33.6818,33.3620
34.1273,33.3174
35.1667,33.6685
34.2758,33.8185
35.3152,33.5691
35.3152,34.2886
33.6818,34.3175
33.6818,33.7756
34.2758,33.6791
34.4242,33.8120
34.2758,33.9921
34.1273,33.9955
34.5727,33.8016
34.2758,33.9001
34.2758,33.7969
35.4636,34.0235
35.0182,34.3484
35.3152,34.1758
33.9788,34.1215
34.8697,33.8431
33.7561,34.1471
33.5333,33.8105
34.1273,33.6932
34.3500,33.9145
34.5727,34.1595
33.8303,34.2631
34.7955,33.9858
33.9788,34.2847
34.4242,33.9795
34.4242,34.1542
34.1273,34.0704
34.7212,33.9431
35.0182,34.1264
35.0182,34.2793
32.9394,34.1300
34.5727,33.5388
35.0182,34.0160
34.5727,33.9766
33.0879,33.9757
34.7212,33.4848
35.0182,34.1003
33.9788,33.9148
34.2758,33.7637
34.5727,33.8655
34.4242,34.0314
34.7212,33.9679
32.1970,34.0924
33.5333,33.3216
34.7212,33.7271
34.7212,33.9573
33.9788,34.0881
34.8697,33.7855
33.7561,33.9748
34.2758,33.7942
32.4939,33.8350
33.9788,33.4142
30.1182,33.6896
33.5333,32.8519
32.7909,33.7217
34.4242,33.4914
32.3455,33.8814
34.5727,33.5798
34.1273,33.7227
34.5727,33.6256
33.8303,33.8884
33.3106,33.7549
34.6470,33.5872
30.1182,33.3974
32.0485,32.6332
32.3455,32.9358
33.3106,32.9168
33.9788,33.2954
33.5333,33.3540
34.2015,33.6147
34.1273,33.8410
33.9788,33.9478
33.6818,33.7823
31.1576,33.7497
33.0879,32.9401
33.2364,33.1963
33.9788,33.2089
34.4242,33.4148
33.0879,33.6513
33.2364,33.3911
29.3758,33.1883
34.7212,32.2654
33.8303,33.7745
32.9394,33.7005
33.0879,33.2046
33.0879,33.1007
33.2364,33.0784
33.5333,33.0532
32.7909,33.0939
33.8303,32.8961
33.2364,33.1468
33.2364,32.9902
32.3455,33.0754
33.0879,32.7036
32.7909,32.7050
32.9394,33.0337
33.6818,33.0970
34.2758,33.2302
33.5333,33.5053
33.9788,33.3582
33.9045,33.8492
33.5333,33.7240
33.9788,33.4468
34.1273,33.5914
33.9788,33.6607
34.4242,33.6562
33.9788,33.7291
34.4242,33.5117
34.5727,33.6810
32.7909,33.7587
34.2758,33.1556
34.1273,33.6743
34.1273,33.7246
34.2758,33.9133
33.9788,33.9551
33.5333,33.8343
34.1273,33.7604
34.4242,34.0090
33.5333,33.8071
34.4242,33.6484
34.2758,34.0346
35.0182,33.7357
34.1273,34.0305
34.4242,34.1833
33.9788,34.0227
34.5727,33.9438
34.5727,34.2050
33.8303,34.0297
34.5727,33.7613
34.2758,34.1216
34.5727,33.9480
35.0182,34.2269
34.4985,34.2108
34.1273,34.1689
33.8303,33.9664
33.3848,33.8242
33.9788,33.7708
33.8303,33.8164
35.3152,33.9884
34.2758,34.4769
35.4636,33.8366
35.3894,34.4799
35.7606,34.4056
35.4636,34.4829
34.4242,34.4886
35.3152,34.2898
35.6121,34.8119
35.6121,35.1231
35.3152,35.2426
35.5379,34.8798
34.4242,35.1388
35.6121,34.4391
35.9091,35.5373
36.8000,35.4460
34.8697,35.7026
34.2758,34.5197
34.5727,34.6441
35.0182,34.8683
35.4636,34.9337
34.8697,35.1664
35.1667,34.6489
35.0182,34.8890
33.6818,34.8857
35.7606,34.6798
36.0576,35.1657
34.5727,34.6171
34.8697,34.4001
35.4636,34.5184
36.3545,34.9863
36.6515,35.4977
36.0576,35.3398
35.1667,34.7353
34.7212,34.3213
34.8697,34.5478
34.7212,34.2929
34.8697,34.5912
34.8697,34.6576
35.9091,34.6357
36.5030,35.2520
36.5030,35.4765
36.0576,35.0289
35.5379,35.1900
34.8697,34.6983
35.3152,34.6867
36.5030,34.6935
35.4636,35.3950
34.8697,34.6982
34.7212,34.4475
34.7955,34.5437
32.7909,34.4686
35.4636,33.9141
35.3152,34.4945
35.1667,34.5419
36.0576,34.4965
35.6121,34.8838
35.4636,34.6970
35.3152,34.4733
34.5727,34.4675
35.3152,34.0744
35.0182,34.2255
33.3848,34.2407
32.4939,33.7684
35.6121,33.3199
33.4591,34.1744
33.8303,33.7854
34.5727,33.9108
34.5727,34.1566
34.7212,34.0634
32.9394,34.0989
34.1273,33.5950
34.4242,33.8954
33.8303,33.8459
34.4242,33.7911
34.5727,33.9710
33.5333,33.8348
32.7909,33.1784
33.3848,33.3696
33.5333,33.3751
33.9788,33.4850
33.5333,33.5313
33.3848,33.4507
34.7212,33.3351
33.8303,34.0823
32.9394,33.6750
33.2364,33.3599
33.0879,33.3294
33.5333,33.1513
30.8606,33.0074
33.5333,32.2731
32.9394,33.1362
33.0879,33.0990
32.3455,33.3288
33.3848,32.9263
31.4545,33.0509
32.4939,32.5526
32.3455,32.7989
32.3455,32.8126
35.1667,32.6719
32.3455,33.5623
32.9394,32.9683
33.0879,32.7102
32.9394,32.7329
32.1970,32.9381
33.9788,32.6350
33.3848,33.3626
33.5333,33.2518
33.0879,33.3401
29.5242,33.1073
31.6030,32.0981
34.2758,32.6783
33.5333,33.2681
31.1576,33.1962
31.1576,32.0447
31.4545,32.0391
31.4545,32.2869
33.1386,32.4671
32.9394,32.9697
33.0879,33.1750
32.4939,33.0234
33.0879,32.8069
34.1273,32.7265
33.9788,32.8201
32.7909,32.9518
31.1576,32.6352
33.1386,32.0295
31.6030,32.1863
32.9394,32.1893
31.7515,32.4622
31.1576,32.1003
31.6030,31.6819
30.1182,31.7735
31.7515,31.3522
31.1576,31.5787
29.8955,31.6504
29.6727,31.3250
31.4545,31.4995
31.7515,32.0432
30.5636,32.1434
31.1576,32.1360
33.1386,32.1131
32.0485,32.4454
32.7909,32.3194
31.9000,32.1808
28.9303,31.9521
31.1576,30.8732
31.0091,31.3309
31.1576,31.3431
31.7515,31.3626
31.1576,31.4388
31.3061,31.4713
30.4152,31.4150
27.7424,31.0040
30.4152,30.2026
29.8212,30.6861
30.4152,30.7213
29.9697,30.8440
31.0091,30.7448
30.4152,31.2185
31.7515,31.1206
30.2667,31.5788
31.4545,31.2858
30.1182,31.3842
31.3061,31.2003
33.1386,31.7467
32.9394,32.1577
31.9000,32.4897
32.4939,32.1796
32.3455,32.3740
33.0879,32.2622
32.1970,32.6283
31.9000,32.3669
31.4545,32.3252
31.6030,32.1693
32.4939,32.1097
32.4939,32.2025
32.1970,32.1171
31.9742,32.3601
33.0879,32.2538
30.7121,32.7087
32.6424,32.2219
32.3455,32.6895
31.3061,32.5832
31.6030,32.3299
31.6030,32.2135
31.0091,32.4638
31.6030,32.1249
32.0485,32.2043
33.6818,32.5834
33.5333,32.9201
32.7909,33.0601
33.0879,32.9740
32.3455,32.9769
32.9394,32.7148
32.7909,32.9535
33.2364,32.8635
31.9000,33.0428
31.6030,32.7278
32.7909,32.7344
33.2364,32.9076
33.1386,32.9358
33.2364,33.1354
33.5333,33.1058
33.0879,33.2230
32.4939,33.2031
31.0091,32.9931
32.7909,32.6648
33.5333,32.7654
33.9788,32.8867
32.3455,33.1611
32.7909,32.9597
32.3455,32.9733
33.2364,32.9191
33.5333,33.1047
33.9788,33.2141
31.9000,33.4533
33.0879,32.9670
32.3455,33.0619
34.2758,33.0476
31.6030,33.4477
33.8303,33.0658
32.7909,33.2957
33.6818,33.0590
33.5333,33.4001
33.5333,33.3768
33.9788,33.4096
32.1970,33.5745
32.7909,33.0045
33.6818,33.0662
32.4939,33.1170
33.9788,33.1716
33.1386,33.5469
34.8697,33.5027
32.9394,33.8433
33.5333,33.3547
32.6424,33.3911
33.6818,33.0840
33.1386,33.2779
34.5727,33.3578
34.1273,33.7459
34.4242,33.6654
33.8303,33.9213
33.6818,33.8332
33.3848,33.9273
34.7212,33.7100
34.7212,33.9516
34.2758,33.9684
32.9394,33.8080
33.9788,33.5751
34.5727,33.5896
33.6076,33.7995
34.2758,33.6580
34.4242,33.8037
34.1273,34.0569
34.5727,33.9623
33.1386,34.0506
33.8303,33.8261
34.5727,33.8207
34.4242,33.9068
34.2758,33.9659
34.5727,33.9354
34.2758,34.0272
35.0182,33.8901
34.2758,34.2003
34.2758,33.9942
34.2758,33.9381
34.2758,33.9426
33.8303,33.8910
33.6818,33.9139
35.4636,33.8644
34.1273,34.1077
33.5333,33.8645
31.1576,33.7040
32.6424,33.2760
33.0879,33.2855
33.5333,33.3742
33.6076,33.5583
33.2364,33.6678
32.7909,33.6524
32.6424,33.5881
33.8303,33.4974
34.4242,33.7332
33.2364,33.9106
33.8303,33.7853
34.5727,33.8893
33.3848,33.8631
33.5333,33.7156
33.5333,33.6783
33.8303,33.7420
34.2758,33.8202
34.4242,33.7387
33.3848,33.8157
33.3848,33.5253
33.8303,33.5467
32.6424,33.6226
33.3848,33.4691
33.6818,33.6317
32.9394,33.8022
33.5333,33.5797
33.0879,33.5254
32.3455,33.5802
33.6818,33.3631
33.9788,33.4862
33.3848,33.6080
33.3848,33.6374
33.5333,33.5681
33.8303,33.4616
34.2758,33.5456
33.8303,33.7356
33.8303,33.6701
34.2758,33.6216
34.7212,33.7460
34.1273,33.8158
34.2758,33.7491
34.1273,33.7280
34.1273,33.6626
34.1273,33.8078
34.1273,33.8548
34.2015,33.8580
33.3848,33.8512
34.4242,33.6846
34.2758,34.0370
34.2758,33.9450
34.4242,34.0442
33.3848,33.9548
33.3848,33.6207
33.5333,33.6015
33.8303,33.6343
33.0879,34.0700
33.5333,33.6483
33.2364,33.4918
33.0879,33.3193
33.0879,33.2669
33.5333,33.2731
33.8303,33.4121
33.9788,33.6057
33.0879,33.6393
34.2015,33.4447
33.0879,33.6529
33.8303,33.4215
33.8303,33.6148
33.2364,33.5430
32.4939,33.5043
33.2364,33.2562
32.3455,33.3356
32.4939,33.0798
32.1970,33.2274
33.6818,33.1101
33.1386,33.4416
33.2364,33.4178
33.2364,33.3220
33.1386,33.2911
34.4242,33.2694
33.6818,33.7433
33.5333,33.4887
33.6818,33.7452
34.5727,33.6763
34.4242,34.1329
34.1273,33.9815
33.8303,33.9845
33.8303,33.6250
34.1273,33.8206
34.4985,34.0812
33.6818,34.2254
33.5333,33.7833
33.4591,33.9820
34.2758,33.7905
34.2758,33.9892
33.9788,33.9568
33.3848,33.8033
32.4939,33.6230
33.2364,33.3350
34.1273,33.4428
35.0182,33.7020
33.3848,33.9946
32.6424,33.5459
32.4939,33.3002
34.5727,33.2855
33.3106,33.8243
33.6818,33.6209
32.4939,33.6626
34.5727,33.3042
34.1273,33.8121
33.5333,33.8125
34.2758,33.6097
33.1386,33.8135
34.7955,33.6040
35.3152,34.2597
35.1667,34.2532
33.1386,34.1751
34.2758,33.6247
33.3848,33.9772
34.7955,33.7157
32.3455,34.2834
34.4242,33.6022
34.2758,34.0667
34.2758,34.0979
33.6818,34.1595
34.1273,33.6406
34.1273,33.7732
33.9788,33.7050
34.1273,33.8033
33.1386,34.0012
33.5333,33.5587
34.1273,33.9782
33.1386,34.0348
34.7212,33.7208
35.4636,34.1948
34.1273,34.3709
34.5727,33.9369
34.8697,33.8850
33.9788,34.0278
33.9788,33.8352
33.8303,33.7993
33.5333,33.7887
33.9788,33.7001
33.5333,33.7756
32.7909,33.7221
32.9394,33.5722
33.5333,33.4311
33.5333,33.5775
33.3848,33.7208
33.2364,33.6491
33.0879,33.6013
32.7909,33.3965
33.2364,33.1774
33.3848,33.3609
33.3848,33.5455
33.6818,33.4388
34.4242,33.5872
33.8303,33.6323
34.1273,33.6548
33.2364,33.8460
32.6424,33.5869
34.2758,33.4191
33.5333,33.7699
32.9394,33.6084
33.0879,33.4742
33.3848,33.4479
34.8697,33.6507
34.1273,33.9179
33.8303,33.8171
33.5333,33.7552
32.9394,33.7302
33.9788,33.4569
31.0091,33.5368
33.5333,33.0036
33.5333,33.2763
34.2758,33.5620
33.5333,33.7783
33.5333,33.6868
33.3848,33.5566
33.3848,33.5195
33.0879,33.3131
32.0485,33.1784
34.4242,33.0105
34.1273,33.4458
33.2364,33.6308
31.7515,33.4077
33.6818,33.0860
32.1970,33.1752
31.7515,32.9787
30.5636,32.7731
29.8212,32.3342
32.6424,32.1926
32.1970,33.0958
31.9742,33.1718
32.6424,32.9062
33.9788,33.0609
34.5727,33.5705
34.2758,33.6757
33.3848,33.5546
32.9394,33.0725
32.3455,32.7675
32.4939,32.4376
33.5333,32.5089
31.7515,32.8782
31.7515,32.2173
32.6424,32.3063
32.3455,32.4683
33.5333,32.3786
32.7909,32.9242
32.9394,32.9485
33.3848,32.8982
34.5727,33.1868
33.6076,33.5592
32.9394,33.3995
33.3848,33.0673
33.3848,33.3829
32.4939,33.4079
33.3848,32.8518
34.1273,33.0479
32.6424,33.4095
32.9394,33.2580
33.6818,33.2826
33.3848,33.4321
33.6818,33.3785
